Match,Date,Duration,Team,Picks,Bans,Team.1,Picks.1,Bans.1,Winner,match_id,barracks_status_dire,barracks_status_radiant,cluster,dire_score,dire_team_id,duration,engine,first_blood_time,game_mode,human_players,leagueid,lobby_type,match_seq_num,radiant_gold_adv,radiant_score,radiant_team_id,radiant_win,radiant_xp_adv,start_time,tower_status_dire,tower_status_radiant,version,replay_salt,series_id,series_type,patch,region,throw,loss,replay_url,comeback,stomp,date,time
6227492909,17 oct. 2021 06:56,36:44,Team Spirit,Magnus  Bane  Winter Wyvern  Ember Spirit  Terrorblade,Monkey King  Undying  Rubick  Tinker  Snapfire  Oracle  Ogre Magi,PSG.LGD,Tiny  Lycan  Kunkka  Skywrath Mage  Enchantress,Mars  Dark Willow  Naga Siren  Ursa  Luna  Lifestealer  Sven,Team Spirit,6227492909.0,3.0,63.0,273.0,12.0,15.0,2204.0,1.0,176.0,2.0,10.0,13256.0,1.0,5207311312.0,"0,132,-3,33,-52,-501,-915,-649,-717,-1145,-893,-1355,-2056,-2418,-2789,-2022,-1671,-2302,-2494,-3585,-2092,-2432,-858,-637,-839,-264,329,1247,3439,3143,6344,7910,7127,11851,11720,12106,11649",29.0,7119388.0,True,"0,143,425,157,80,510,143,90,-28,233,-230,397,-1098,-1847,-2513,-787,-1140,-2384,-2573,-4086,-1006,-2170,759,632,978,1539,1015,3921,5322,4849,9674,9672,7625,15009,15050,16752,16880",1634489786.0,6.0,1974.0,21.0,1934613958.0,603588.0,2.0,49.0,3.0,3585.0,12106.0,http://replay273.valve.net/570/6227492909_1934613958.dem.bz2,,,10-18,00:56
6227419633,17 oct. 2021 06:03,24:40,PSG.LGD,Magnus  Bane  Luna  Undying  Kunkka,Mars  Dark Willow  Doom  Faceless Void  Terrorblade  Lina  Storm Spirit,Team Spirit,Winter Wyvern  Lion  Spectre  Axe  Templar Assassin,Monkey King  Tiny  Ember Spirit  Phantom Assassin  Ursa  Tinker  Viper,PSG.LGD,6227419633.0,48.0,63.0,273.0,2.0,7119388.0,1480.0,1.0,,2.0,10.0,13256.0,1.0,5207242328.0,"313,932,965,786,1155,1831,2128,2234,3201,4105,5224,5554,6764,7378,7852,8457,9270,10693,11999,13350,15502,19036,20380,20587,21269",23.0,15.0,True,"100,252,165,23,468,1020,1179,1251,1897,3159,3996,4100,5908,7364,7883,9601,11582,12308,14574,16320,20529,19977,20567,20711,21318",1634486594.0,384.0,1983.0,21.0,1711071608.0,603588.0,2.0,49.0,3.0,-313.0,21269.0,http://replay273.valve.net/570/6227419633_1711071608.dem.bz2,,,10-18,00:03
6227305557,17 oct. 2021 04:38,50:10,Team Spirit,Magnus  Dark Willow  Phantom Assassin  Disruptor  Invoker,Monkey King  Winter Wyvern  Ursa  Tidehunter  Faceless Void  Puck  Void Spirit,PSG.LGD,Rubick  Undying  Spectre  Bloodseeker  Tinker,Tiny  Io  Morphling  Kunkka  Elder Titan  Storm Spirit  Ember Spirit,PSG.LGD,6227305557.0,63.0,,273.0,43.0,15.0,3010.0,1.0,102.0,2.0,10.0,13256.0,1.0,5207182402.0,"0,172,606,476,267,233,-181,426,650,438,562,1069,934,985,291,-163,301,683,748,-89,213,-790,-1199,-1146,-466,-1825,-1660,-1086,-3108,-5073,-6894,-8241,-8029,-6957,-10231,-11247,-12668,-14400,-15787,-15942,-16534,-18429,-19694,-19840,-20446,-21149,-26207,-27861,-28390,-28713,-32057",17.0,7119388.0,False,"0,77,220,51,-376,-95,-471,300,114,-73,-420,349,-773,-714,-1854,-2480,-1512,-962,-1038,-2830,-2939,-4660,-4053,-2901,-2861,-4904,-5126,-3527,-8761,-11268,-14896,-15732,-14597,-14066,-18614,-19136,-23815,-24760,-26459,-27194,-29664,-31882,-31671,-33496,-34797,-39170,-45982,-49636,-50369,-50197,-63198",1634481511.0,2038.0,512.0,21.0,490901436.0,603588.0,2.0,49.0,3.0,,,http://replay273.valve.net/570/6227305557_490901436.dem.bz2,1069.0,32057.0,10-17,22:38
6227203516,17 oct. 2021 03:26,40:46,PSG.LGD,Io  Leshrac  Earthshaker  Morphling  Nature's Prophet,Mars  Winter Wyvern  Lina  Invoker  Anti-Mage  Kunkka  Void Spirit,Team Spirit,Bane  Magnus  Dark Willow  Luna  Puck,Monkey King  Tiny  Ursa  Beastmaster  Lycan  Visage  Shadow Demon,Team Spirit,6227203516.0,61.0,48.0,274.0,24.0,7119388.0,2446.0,1.0,251.0,2.0,10.0,13256.0,1.0,5207091513.0,"0,-296,-598,-516,-921,-1519,-1608,-2269,-2390,-2393,-2256,-2865,-2584,-3119,-1738,-2087,-1796,-1153,-527,-127,137,-2774,-3118,-3940,-5207,-5538,-5548,-4928,-4484,-5086,-4274,-5037,-5442,-7925,-8802,-8457,-8612,-8055,-9872,-11199,-12366",8.0,15.0,False,"0,202,-369,-2,-24,-55,0,-333,-807,-325,756,-1936,-1690,-1772,76,-123,-143,505,1074,343,864,-3407,-3738,-6630,-7382,-8296,-8927,-8766,-9372,-11178,-10421,-10972,-13550,-17151,-19323,-19633,-19600,-20103,-23663,-25083,-29669",1634477214.0,1584.0,1792.0,21.0,564146712.0,603588.0,2.0,49.0,3.0,,,http://replay274.valve.net/570/6227203516_564146712.dem.bz2,137.0,12366.0,10-17,21:26
6227105229,17 oct. 2021 02:13,38:16,Team Spirit,Elder Titan  Tidehunter  Lion  Naga Siren  Void Spirit,Monkey King  Tiny  Magnus  Ember Spirit  Bane  Leshrac  Lina,PSG.LGD,Io  Ursa  Disruptor  Lycan  Pangolier,Mars  Winter Wyvern  Troll Warlord  Phantom Assassin  Terrorblade  Kunkka  Storm Spirit,Team Spirit,6227105229.0,51.0,63.0,274.0,5.0,15.0,2296.0,1.0,214.0,2.0,10.0,13256.0,1.0,5207015795.0,"0,435,745,722,448,499,368,268,421,187,627,508,91,1293,1196,1050,781,1849,2002,2980,3762,4497,4673,5719,3829,4178,4270,3726,3581,3509,3698,4593,5379,6166,6256,7024,8204,10387,12698",18.0,7119388.0,True,"0,204,442,156,100,-36,-190,-120,-505,-781,-352,-79,-411,730,500,226,-305,843,1684,4563,5858,6056,6206,6914,4161,3556,3824,4314,4269,1822,2991,4629,5760,5713,6766,7043,8452,13805,15414",1634472823.0,1924.0,1974.0,21.0,501232527.0,603588.0,2.0,49.0,3.0,,12698.0,http://replay274.valve.net/570/6227105229_501232527.dem.bz2,,,10-17,20:13
6226873670,17 oct. 2021 11:30,41:02,Team Spirit,Winter Wyvern  Magnus  Dark Willow  Sven  Storm Spirit,Monkey King  Ogre Magi  Void Spirit  Templar Assassin  Rubick  Tinker  Puck,Team Secret,Tiny  Elder Titan  Lycan  Shadow Demon  Lina,Bane  Lion  Necrophos  Ember Spirit  Lifestealer  Kunkka  Invoker,Team Spirit,6226873670.0,51.0,63.0,274.0,13.0,1838315.0,2462.0,1.0,139.0,2.0,10.0,13256.0,1.0,5206839304.0,"-125,-200,-330,-746,-579,-764,-700,-296,-123,-22,-83,-532,-25,-175,-842,-664,-749,-763,-1600,-2319,-2688,-2721,-2631,-2069,-1939,-1429,-964,1253,2517,2887,1797,568,4078,5974,6258,7742,7733,9746,10848,10079,9753,16196",29.0,7119388.0,True,"0,-96,-129,-519,-589,-708,-618,-376,860,1206,1432,1440,1936,2096,981,1293,1814,714,528,-997,-144,700,6,258,1055,1241,557,5524,10041,10978,8666,9541,17751,19666,21374,24033,23326,28814,33237,29184,29708,45532",1634463008.0,964.0,1844.0,21.0,1636010613.0,603552.0,1.0,49.0,3.0,2721.0,16196.0,http://replay274.valve.net/570/6226873670_1636010613.dem.bz2,,,10-17,17:30
6226789510,17 oct. 2021 10:17,42:59,Team Spirit,Lion  Tidehunter  Dark Willow  Morphling  Kunkka,Monkey King  Tiny  Ursa  Rubick  Snapfire  Templar Assassin  Tinker,Team Secret,Magnus  Enchantress  Juggernaut  Grimstroke  Void Spirit,Bane  Io  Weaver  Lina  Disruptor  Ember Spirit  Invoker,Team Spirit,6226789510.0,15.0,63.0,273.0,19.0,1838315.0,2579.0,1.0,2.0,2.0,10.0,13256.0,1.0,5206775257.0,"0,-237,-420,-249,-746,-848,-240,-259,-389,313,22,417,662,1982,2278,2794,2144,2391,2948,3296,3596,3910,4885,3140,3065,3889,3996,5763,5912,5732,7413,8752,8504,7737,6881,4397,3985,3270,2319,1712,794,2509,6992",23.0,7119388.0,True,"0,76,-38,-109,-298,-29,365,538,273,1079,996,1521,2523,3731,3707,4444,4330,4563,5607,6214,5701,6715,7485,4433,3370,5862,6014,8547,7336,6917,9725,11582,10176,9399,6156,-2254,-2291,-3025,-3011,-3618,-4268,-1722,7988",1634458654.0,36.0,1830.0,21.0,51982409.0,603552.0,1.0,49.0,3.0,848.0,8752.0,http://replay273.valve.net/570/6226789510_51982409.dem.bz2,,,10-17,16:17
6226709723,17 oct. 2021 09:08,39:04,Team Secret,Magnus  Elder Titan  Rubick  Terrorblade  Void Spirit,Bane  Winter Wyvern  Lion  Ursa  Disruptor  Drow Ranger  Arc Warden,Team Spirit,Io  Mars  Jakiro  Storm Spirit  Spectre,Monkey King  Tiny  Ogre Magi  Ember Spirit  Snapfire  Puck  Queen of Pain,Team Secret,6226709723.0,,63.0,273.0,16.0,7119388.0,2344.0,1.0,115.0,2.0,10.0,13256.0,1.0,5206710741.0,"100,124,438,385,503,362,870,636,821,673,620,947,1224,2041,2416,2168,3539,3643,4573,5228,6768,7081,5543,7307,9112,7526,8140,8341,8543,8277,7464,10248,13999,14308,14956,17748,19031,20293,22765,25144",37.0,1838315.0,True,"48,145,136,115,299,197,172,557,1265,797,719,1287,2007,2863,2841,1969,3005,2781,3482,4556,8166,7716,2891,4687,7824,2152,1978,1951,1139,440,-792,8881,11277,10984,11138,13448,14054,14291,15579,24588",1634454485.0,1024.0,1983.0,21.0,1512681445.0,603552.0,1.0,49.0,3.0,-100.0,25144.0,http://replay273.valve.net/570/6226709723_1512681445.dem.bz2,,,10-17,15:08
6225461282,16 oct. 2021 03:49,50:12,Team Spirit,Snapfire  Doom  Disruptor  Dragon Knight  Drow Ranger,Storm Spirit  Tiny  Monkey King  Wraith King  Morphling  Chaos Knight  Luna,INVICTUS GAMING,Lion  Lina  Earthshaker  Weaver  Faceless Void,Magnus  Mars  Templar Assassin  Invoker  Spectre  Phantom Assassin  Medusa,Team Spirit,6225461282.0,60.0,63.0,274.0,26.0,5.0,3012.0,1.0,57.0,2.0,10.0,13256.0,1.0,5205716063.0,"100,-36,-570,-292,-695,-1017,-752,-1149,-899,-707,-1369,-1166,-1686,-1733,-1607,-1946,-1859,-2200,-2233,139,-1190,-993,-143,-680,-668,-732,-822,-181,-281,1641,2595,3656,4550,4658,7886,8225,6865,6855,7610,8503,8814,9862,10479,10677,10274,11353,10346,11031,11755,12304,17123",32.0,7119388.0,True,"50,74,-407,-23,-519,-529,93,-761,-1356,-1354,-2093,-2085,-2756,-2704,-2949,-4231,-4359,-4259,-5053,-1388,-4651,-3679,-2133,-2342,-2835,-2682,-2068,-1798,-3886,-295,1401,2596,1868,1686,6788,7291,5199,4695,5107,6959,4942,6571,5161,4786,2032,9883,8916,9672,10372,11011,22120",1634392175.0,1504.0,1846.0,21.0,265627434.0,603280.0,1.0,49.0,3.0,2233.0,17123.0,http://replay274.valve.net/570/6225461282_265627434.dem.bz2,,,10-16,21:49
6225350158,16 oct. 2021 02:42,33:49,INVICTUS GAMING,Lion  Tidehunter  Ursa  Abaddon  Void Spirit,Weaver  Magnus  Monkey King  Lina  Templar Assassin  Leshrac  Shadow Fiend,Team Spirit,Bane  Mars  Io  Phantom Assassin  Windranger,Storm Spirit  Tiny  Winter Wyvern  Ember Spirit  Morphling  Queen of Pain  Kunkka,Team Spirit,6225350158.0,63.0,48.0,274.0,21.0,7119388.0,2029.0,1.0,239.0,2.0,10.0,13256.0,1.0,5205611478.0,"0,67,89,-197,-738,-927,-1176,-1335,-613,-375,-123,-272,603,436,-115,-558,582,688,-465,-425,-716,-2573,-4673,-4830,-5849,-6075,-5865,-6175,-5330,-4245,-4528,-6193,-8265,-9010",9.0,5.0,False,"0,124,228,-122,-105,-288,-533,-503,199,433,198,-189,140,487,-335,-876,-154,-552,-2793,-2706,-4733,-9133,-10084,-10370,-12621,-12428,-12433,-12260,-7818,-6873,-7232,-12817,-12641,-13807",1634388167.0,2038.0,1792.0,21.0,1364773545.0,603280.0,1.0,49.0,3.0,,,http://replay274.valve.net/570/6225350158_1364773545.dem.bz2,688.0,9010.0,10-16,20:42
